name,batch_input_shape,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,activity_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
input_3,"(?, 224, 224, 3)",,,,,,,,float32,,,,,,,,,,,,,,,,,,,,,,,,False,
conv1_pad,"(?, 230, 230, 3)",,,,"((3, 3), (3, 3))",,,,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv1,"(?, 112, 112, 64)",64,"(7, 7)",linear,valid,"(2, 2)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn_conv1,"(?, 112, 112, 64)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_1,"(?, 112, 112, 64)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
max_pooling2d_1,"(?, 55, 55, 64)",,,,valid,"(2, 2)","(3, 3)",,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
res2a_branch2a,"(?, 55, 55, 64)",64,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2a,"(?, 55, 55, 64)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_2,"(?, 55, 55, 64)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2a_branch2b,"(?, 55, 55, 64)",64,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2b,"(?, 55, 55, 64)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_3,"(?, 55, 55, 64)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2a_branch2c,"(?, 55, 55, 256)",256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
res2a_branch1,"(?, 55, 55, 256)",256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2a_branch2c,"(?, 55, 55, 256)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
bn2a_branch1,"(?, 55, 55, 256)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
add_1,"(?, 55, 55, 256)",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
activation_4,"(?, 55, 55, 256)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2a,"(?, 55, 55, 64)",64,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2a,"(?, 55, 55, 64)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_5,"(?, 55, 55, 64)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2b,"(?, 55, 55, 64)",64,"(3, 3)",linear,same,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2b,"(?, 55, 55, 64)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
activation_6,"(?, 55, 55, 64)",,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
res2b_branch2c,"(?, 55, 55, 256)",256,"(1, 1)",linear,valid,"(1, 1)",,,,True,True,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,channels_last,"(1, 1)",,,
bn2b_branch2c,"(?, 55, 55, 256)",,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
